Date,Temperature,Humidity
2024-03-03 16:57:39.411786,16.9,93.3
2024-03-03 16:58:09.705694,17.4,94.5
2024-03-03 16:58:39.997009,,
2024-03-03 16:58:39.997111,17.4,94.5
2024-03-03 16:59:10.289474,22.2,99.9
2024-03-03 16:59:40.578312,22.6,99.9
2024-03-03 17:00:10.867389,22.0,99.9
2024-03-03 17:00:41.143204,21.1,97.7
2024-03-03 17:01:11.430383,19.8,86.5
2024-03-03 17:01:41.697921,19.3,60.8
2024-03-03 17:02:11.970286,,
2024-03-03 17:02:11.970384,19.3,60.8
2024-03-03 17:02:42.260772,,
2024-03-03 17:02:42.260865,19.3,60.8
